"No.","Time","Source","Destination","Length","Info","Value"
"1144","174.676190","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","110044060000564c54204c000000000000"
"1145","174.711047","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060001"
"1147","174.729597","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e00440600010000000000102945"
"1148","174.764615","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060002"
"1149","174.780267","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044060002000000000000c842"
"1150","174.812677","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060003"
"1152","174.825763","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e00440600030000000000404e45"
"1153","174.861916","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060004"
"1154","174.880390","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a00440600046d560000"
"1158","174.914477","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060005"
"1160","174.930201","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800440600051000"
"1161","174.964129","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060080"
"1163","175.004816","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004406008001010400"
"1164","175.014389","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060100"
"1166","175.065334","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","110044060100564c542053000000000000"
"1167","175.065672","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060101"
"1168","175.114277","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060102"
"1170","175.125788","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e00440601010000000000102945"
"1171","175.154939","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044060102000000000000c842"
"1172","175.163387","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060103"
"1173","175.214439","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060104"
"1174","175.215305","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e00440601030000000000404e45"
"1176","175.263960","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060105"
"1177","175.275890","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a00440601046d560000"
"1178","175.305306","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800440601051000"
"1179","175.315586","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022060180"
